< 2017-04-30 04:15:48.564 MSK >СООБЩЕНИЕ:  система БД была выключена: 2017-04-30 04:15:37 MSK
< 2017-04-30 04:15:48.567 MSK >СООБЩЕНИЕ:  Защита от наложения мультитранзакций сейчас включена
< 2017-04-30 04:15:48.569 MSK >СООБЩЕНИЕ:  система БД готова принимать подключения
< 2017-04-30 04:15:48.572 MSK >СООБЩЕНИЕ:  процесс запуска автоочистки создан
< 2017-04-30 04:35:10.543 MSK >СООБЩЕНИЕ:  получен запрос на быстрое выключение
< 2017-04-30 04:35:11.746 MSK >СООБЩЕНИЕ:  прерывание всех активных транзакций
< 2017-04-30 04:35:12.060 MSK >СООБЩЕНИЕ:  процесс запуска автоочистки завершается
< 2017-04-30 04:35:13.295 MSK >СООБЩЕНИЕ:  выключение
< 2017-04-30 04:35:15.573 MSK >СООБЩЕНИЕ:  система БД выключена
< 2017-04-30 04:36:00.524 MSK >СООБЩЕНИЕ:  система БД была выключена: 2017-04-30 04:35:15 MSK
< 2017-04-30 04:36:01.313 MSK >СООБЩЕНИЕ:  Защита от наложения мультитранзакций сейчас включена
< 2017-04-30 04:36:01.455 MSK >ВАЖНО:  система баз данных запускается
< 2017-04-30 04:36:01.816 MSK >ВАЖНО:  система баз данных запускается
< 2017-04-30 04:36:01.817 MSK >LOG:  could not send data to client: Обрыв канала
< 2017-04-30 04:36:02.051 MSK >ВАЖНО:  система баз данных запускается
< 2017-04-30 04:36:04.459 MSK >ВАЖНО:  система баз данных запускается
< 2017-04-30 04:36:04.459 MSK >LOG:  could not send data to client: Обрыв канала
< 2017-04-30 04:36:05.549 MSK >ВАЖНО:  система баз данных запускается
< 2017-04-30 04:36:05.549 MSK >LOG:  could not send data to client: Обрыв канала
< 2017-04-30 04:36:05.961 MSK >ВАЖНО:  система баз данных запускается
< 2017-04-30 04:36:06.126 MSK >СООБЩЕНИЕ:  система БД готова принимать подключения
< 2017-04-30 04:36:07.159 MSK >LOG:  could not send data to client: Обрыв канала
< 2017-04-30 04:36:07.985 MSK >СООБЩЕНИЕ:  процесс запуска автоочистки создан
< 2017-04-30 05:18:11.791 MSK >ВАЖНО:  система баз данных запускается
< 2017-04-30 05:18:11.802 MSK >СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2017-04-30 04:36:01 MSK
< 2017-04-30 05:18:12.802 MSK >ВАЖНО:  система баз данных запускается
< 2017-04-30 05:18:13.388 MSK >СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
< 2017-04-30 05:18:13.593 MSK >СООБЩЕНИЕ:  запись нулевой длины по смещению 0/1730958
< 2017-04-30 05:18:13.593 MSK >СООБЩЕНИЕ:  данные REDO не требуются
< 2017-04-30 05:18:13.805 MSK >ВАЖНО:  система баз данных запускается
< 2017-04-30 05:18:14.068 MSK >СООБЩЕНИЕ:  Защита от наложения мультитранзакций сейчас включена
< 2017-04-30 05:18:14.072 MSK >СООБЩЕНИЕ:  система БД готова принимать подключения
< 2017-04-30 05:18:14.112 MSK >СООБЩЕНИЕ:  процесс запуска автоочистки создан
< 2017-04-30 05:23:53.500 MSK >СООБЩЕНИЕ:  получен SIGHUP, файлы конфигурации перезагружаются
< 2017-04-30 05:24:13.074 MSK >СООБЩЕНИЕ:  получен SIGHUP, файлы конфигурации перезагружаются
< 2017-04-30 05:24:28.999 MSK >СООБЩЕНИЕ:  получен SIGHUP, файлы конфигурации перезагружаются
< 2017-04-30 05:24:39.349 MSK >СООБЩЕНИЕ:  получен SIGHUP, файлы конфигурации перезагружаются
< 2017-04-30 05:25:04.103 MSK >СООБЩЕНИЕ:  получен запрос на быстрое выключение
< 2017-04-30 05:25:04.104 MSK >СООБЩЕНИЕ:  прерывание всех активных транзакций
< 2017-04-30 05:25:04.107 MSK >СООБЩЕНИЕ:  процесс запуска автоочистки завершается
< 2017-04-30 05:25:04.109 MSK >СООБЩЕНИЕ:  выключение
< 2017-04-30 05:25:04.143 MSK >СООБЩЕНИЕ:  система БД выключена
< 2017-04-30 05:25:05.612 MSK >СООБЩЕНИЕ:  система БД была выключена: 2017-04-30 05:25:04 MSK
< 2017-04-30 05:25:05.615 MSK >СООБЩЕНИЕ:  Защита от наложения мультитранзакций сейчас включена
< 2017-04-30 05:25:05.618 MSK >СООБЩЕНИЕ:  система БД готова принимать подключения
< 2017-04-30 05:25:05.620 MSK >СООБЩЕНИЕ:  процесс запуска автоочистки создан
< 2017-04-30 05:36:17.559 MSK >ОШИБКА:  роль "bucardo" не существует
< 2017-04-30 05:36:17.559 MSK >ОПЕРАТОР:  ALTER USER bucardo WITH PASSWORD 'postgres';
< 2017-04-30 05:36:25.908 MSK >ОШИБКА:  ошибка синтаксиса (примерное положение: "USER") (символ 14)
< 2017-04-30 05:36:25.908 MSK >ОПЕРАТОР:  UPDATE ALTER USER bucardo WITH PASSWORD 'postgres';
< 2017-04-30 05:36:30.756 MSK >ОШИБКА:  роль "bucardo" не существует
< 2017-04-30 05:36:30.756 MSK >ОПЕРАТОР:  ALTER USER bucardo WITH PASSWORD 'postgres';
< 2017-04-30 05:36:32.969 MSK >ОШИБКА:  роль "bucardo" не существует
< 2017-04-30 05:36:32.969 MSK >ОПЕРАТОР:  ALTER USER bucardo WITH PASSWORD 'postgres';
< 2017-04-30 05:36:36.324 MSK >ОШИБКА:  роль "bucardo" не существует
< 2017-04-30 05:36:36.324 MSK >ОПЕРАТОР:  ALTER USER bucardo WITH PASSWORD 'postgres';
< 2017-04-30 05:43:41.353 MSK >ОШИБКА:  роль "bucardo" не существует
< 2017-04-30 05:43:41.353 MSK >ОПЕРАТОР:  ALTER USER bucardo WITH PASSWORD 'postgres';
< 2017-04-30 05:43:45.236 MSK >ОШИБКА:  роль "bucardo" не существует
< 2017-04-30 05:43:45.236 MSK >ОПЕРАТОР:  ALTER USER bucardo WITH PASSWORD 'postgres';
< 2017-04-30 05:44:23.975 MSK >СООБЩЕНИЕ:  получен запрос на быстрое выключение
< 2017-04-30 05:44:23.975 MSK >СООБЩЕНИЕ:  прерывание всех активных транзакций
< 2017-04-30 05:44:24.591 MSK >СООБЩЕНИЕ:  процесс запуска автоочистки завершается
< 2017-04-30 05:44:26.760 MSK >СООБЩЕНИЕ:  выключение
< 2017-04-30 05:44:27.676 MSK >СООБЩЕНИЕ:  система БД выключена
< 2017-04-30 05:44:30.220 MSK >СООБЩЕНИЕ:  система БД была выключена: 2017-04-30 05:44:27 MSK
< 2017-04-30 05:44:30.314 MSK >ВАЖНО:  система баз данных запускается
< 2017-04-30 05:44:30.315 MSK >СООБЩЕНИЕ:  Защита от наложения мультитранзакций сейчас включена
< 2017-04-30 05:44:30.318 MSK >СООБЩЕНИЕ:  система БД готова принимать подключения
< 2017-04-30 05:44:30.335 MSK >СООБЩЕНИЕ:  процесс запуска автоочистки создан
< 2017-04-30 05:44:38.907 MSK >ОШИБКА:  роль "bucardo" не существует
< 2017-04-30 05:44:38.907 MSK >ОПЕРАТОР:  ALTER USER bucardo WITH PASSWORD 'postgres';
< 2017-04-30 05:46:24.562 MSK >ОШИБКА:  роль "bucardo" уже существует
< 2017-04-30 05:46:24.562 MSK >ОПЕРАТОР:  CREATE USER bucardo SUPERUSER;
< 2017-04-30 05:46:26.124 MSK >ОШИБКА:  язык "plpgsql" уже существует
< 2017-04-30 05:46:26.124 MSK >ОПЕРАТОР:  CREATE LANGUAGE plpgsql;
< 2017-04-30 05:52:48.607 MSK >СООБЩЕНИЕ:  получен запрос на быстрое выключение
< 2017-04-30 05:52:48.607 MSK >СООБЩЕНИЕ:  прерывание всех активных транзакций
